MaturityVar,QuesID,ID,xlsCol,,xlsCol,unite?,VarID,VarID-condnsd,VarName,Field/Question,Response/Response Type,CatID,labelCode,label,PointValue,DataType,RObjectType,Definition,Question & responses (don't use),Comments,Cleaning need
0,1,0,A,,A,0,1,1,Respondent ID,Respondent ID,,100,0,Respondent ID,,Auto-number,number,,,,
0,2,1,B,,B,0,2,2,Collector ID,Collector ID,,100,0,Collector ID,,Auto-number,number,,,,
0,3,2,C,,C,0,3,3,Start Date,Start Date,,100,0,Start Date,,Auto-number,date,,,,
0,4,3,D,,D,0,4,4,End Date,End Date,,100,0,End Date,,Auto-number,date,,,,
0,5,4,E,,E,0,5,5,IP Address,IP Address,,100,0,IP Address,,Auto-number,text,,,,
0,6,5,F,,F,0,6,6,Email Address,Email Address,,100,0,Email Address,,Auto-number,text,,,,
0,7,6,G,,G,0,7,7,First Name,First Name,,100,0,First Name,,Auto-number,text,,,,
0,8,7,H,,H,0,8,8,Last Name,Last Name,,100,0,Last Name,,Auto-number,text,,,,
0,9,8,I,,I,0,9,9,BlankQues,Custom Data 1,,100,0,Custom Data 1,,Auto-number,text,,,,
0,10,9,J,,J,0,10,10,ElemName,What data element is being evaluated?,Open-Ended Response,100,0,Data element,,Open-Ended Response,text,,,,
0,11,10,K,,K,0,11,11,ElemID,"If you know the numeric identifier for this data element, please enter it.",Open-Ended Response,100,0,Data element ID,,Open-Ended Response,number,,,,
0,12,20,L,,L,0,12,12,ContactName,Contact information,Name,100,0,Name,,string,text,,,,
0,12,21,M,,M,0,13,13,ContactOrg,,Organization/agency,100,0,Organization/agency,,string,text,,,,
0,12,22,N,,N,0,14,14,ContactAddress,,Address,100,0,Address,,string,text,,,,
0,12,23,O,,O,0,15,15,ContactAddress2,,Address 2,100,0,Address 2,,string,text,,,,
0,12,24,P,,P,0,16,16,ContactCity,,City/Town,100,0,City/Town,,string,text,,,,
0,12,25,Q,,Q,0,17,17,ContactState,,State/Province,100,0,State/Province,,string,text,,,,
0,12,26,R,,R,0,18,18,ContactZIP,,ZIP/Postal Code,100,0,ZIP/Postal Code,,string,text,,,,
0,12,27,S,,S,0,19,19,ContactCountry,,Country,100,0,Country,,string,text,,,,
0,12,28,T,,T,0,20,20,ContactEmail,,Email Address,100,0,Email Address,,string,text,,,,
0,12,29,U,,U,0,21,21,ContactPhone,,Phone Number,100,0,Phone Number,,phone number,text,,,,
0,13,31,V,,V,1,22,22,ElemOmit,QID 112 Should this data element be removed from the Framework?,No,100,1,No,,nominal,factor,,No,,
0,13,32,W,,W,1,23,23,ElemOmitComm,,"Yes - Please explain why this data element should be removed from Framework. [Note: Once you submit this response, you will exit the survey.]",100,,Yes,,nominal,factor,,Yes,,"separate ""Yes"" from subsequent open-ended comments"
0,14,41,X,,X,1,24,24,ElemNameErr,QID 114 Are there corrections needed to the data element name?,No,100,1,No,,nominal,factor,,No,,
0,14,42,Y,,Y,1,25,25,ElemNameErrComm,,1,100,,Yes,,nominal,factor,,Yes,,"separate ""Yes"" from subsequent open-ended comments"
0,15,51,Z,,Z,0,26,26,ElemDescr,QID 116 Please provide a current description of the data element for inclusion in Framework communication materials and the Framework database. (optional),Open-Ended Response,100,0,Comments,1,string,text,"description provided = 1, old description is sufficient = 1, no description = 0",description provided,,
0,16,61,A,A,AA,1,27,27,Activity,QID 006 Is this dataset considered ?active? or ?static??,Active,100,1,Active,2,nominal,factor,,Active,,
0,16,62,A,B,AB,1,28,,,,Static,100,2,Static,1,nominal,factor,,"Static, but is best available (requires justification)",,
0,16,63,A,C,AC,1,29,28,ActivityComm,,Other (please specify),100,0,Other,0,string,factor,,Other (requires justification),"""Unite"" processing will work best if respondent has selected ""active"" or ""static"" or ""Other"" but not more than one response. Check cleaned data for more than one response. ","Make sure that response doesn't include more than one response (e.g., static AND other comments). Recode responses to numeric values prior to ""uniting"""
0,17,71,A,D,AD,1,30,29,Statewide,QID 105 Phenomenon is statewide in geographic extent (as appropriate),Yes,100,1,Yes,,string,factor,,Yes,,
0,17,72,A,E,AE,1,31,,,,No,100,2,No,,string,factor,,No,,
0,18,81,A,F,AF,1,32,30,BroadUsers,QID 106 Data is required by a broad range of users,Yes,100,1,Yes,,string,factor,,Yes,,
0,18,82,A,G,AG,1,33,,,,No,100,2,No,,string,factor,,No,,
0,19,91,A,H,AH,1,34,31,FoundElem,QID 107 Is identified as a foundational data element,Yes,100,1,Yes,,string,factor,,Yes,,
0,19,92,A,I,AI,1,35,,,,No,100,2,No,,string,factor,,No,,
0,20,101,A,J,AJ,1,36,32,SecFoundElem,QID 108 Element is identified as a secondary foundational data element,Yes,100,1,Yes,,string,factor,,Yes,,
0,20,102,A,K,AK,1,37,,,,No,100,2,No,,string,factor,,No,,
0,21,201,A,L,AL,1,38,33,AppropThm,QID 109 Data element is organized into the appropriate theme,"I disagree with its home theme, but there is no better theme.",200,1,Disagree,,nominal,factor,,"I disagree with its home theme, but there is no better theme.",,
0,21,202,A,M,AM,1,39,,,,Data element should be moved to a different theme. (Please identify proposed theme below.),200,2,Move,,nominal,factor,,Data element should be moved to a different theme. [please identify theme],,
0,21,203,A,N,AN,1,40,,,,"Data element is cross-cutting with more than one possible theme, and may be better placed in another. (Please identify other pertinent themes below)",200,3,CC-move,,nominal,factor,,"Data element is cross-cutting with more than one possible theme, and may be better placed in another. [please identify other pertinent themes]",,
0,21,204,A,O,AO,1,41,,,,"Data element is cross-cutting with more than one possible theme, but this theme is appropriate.",200,4,CC-stay,,nominal,factor,,"Data element is cross-cutting with more than one possible theme, but this theme is appropriate.",,
0,21,205,A,P,AP,1,42,,,,Data element is placed in the appropriate theme.,200,5,Stay,,nominal,factor,,Data element is placed in the appropriate theme.,,
0,21,206,A,Q,AQ,1,43,34,AppropThmComm,,Identify preferred or other pertinent themes,200,0,Preferred theme,,nominal,factor,,,,
1,22,401,A,R,AR,1,44,35,FundProc,QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?,No process to obtain funding exists (please explain below),400,1,No process,0,ordinal,factor,,No process to obtain funding exists (Please explain),,
1,22,402,A,S,AS,1,45,,,,"Funding is from a variety of potentially inconsistent sources, budgeting effort is minimal, staffing is minimal",400,2,Inconsistent,1,ordinal,factor,,"Funding is from local offices, budgeting effort is minimal, staffing is minimal",,
1,22,403,A,T,AT,1,46,,,,"Funding is planned at an agency level, supporting staff is assigned, but funding is not recurring, some lifecycle stages are supported",400,3,Planned,2,ordinal,factor,,"Funding is planned at agency level, supporting staff is assigned, but funding is not recurring, some lifecycle stages are supported",,
1,22,404,A,U,AU,1,47,,,,"Funding support exists but is not adequate to meet known requirements, most lifecycle stages are supported",400,4,Exists-inadequate,3,ordinal,factor,,"Funding support exists but is not adequate to meet known requirements, most lifecycle stages are supported",,
1,22,405,A,V,AV,1,48,,,,Funding is currently adequate and consistent but tied to business requirements whose appropriations are not directed to support all lifecycle stages of the data element (see note above),400,5,Exists-adequate,4,ordinal,factor,,Funding is currently adequate and consistent but tied to business requirements whose appropriations are not directed to support all lifecycle stages of the data elementÿ(see note above),,
1,22,406,A,W,AW,1,49,,,,"Funding support is part of one or more agency/organization budget(s) on a recurring basis, funding is consistent and tied to business requirements, and supports all lifecycle stages",400,6,Recurring,5,ordinal,factor,,"Funding support is part of agency budget on a recurring basis, funding is consistent and tied to business requirements, and supports all lifecycle stages.",,
1,22,407,A,X,AX,1,50,36,FundProcComm,,Please elaborate on the lack of funding and process for obtaining funding.,400,0,Comments,,Open-Ended Response,,,,,
0,23,411,A,Y,AY,0,51,37,FundPrim,QID 008 What is the primary funding source for the data element?,Directed appropriation(s): Funding signed into law by the Oregon Legislature for a specific program that supports this data element or for the data element itself.,400,1,Directed appropriation(s),,string,text,,Directed appropriation(s): Funding signed into law by the Oregon Legislature for a specific program that supports this data element or for the data element itself.,,
0,23,412,A,Z,AZ,0,52,38,,,Federal agency: General lead agency budgetary funding for a specific program that supports this data element.,400,2,Federal agency,,string,text,,Federal agency: General lead agency budgetary funding for a specific program that supports this data element.,,
0,23,413,B,A,BA,0,53,39,,,"Federal interagency: Agreements between two or more different Federal Department(s), Agency(ies), Bureau(s), and/or Office(s) provide funding for a specific program that supports this data element or the data element itself.",400,3,Federal interagency,,string,text,,"Federal interagency: Agreements between two or more different Federal Department(s), Agency(ies), Bureau(s), and/or Office(s) provide funding for a specific program that supports this data element or the data element itself.",,
0,23,414,B,B,BB,0,54,40,,,Tribal government: Tribal government(s) provide funding for a specific program that supports this data element or the data element itself.,400,4,Tribal government,,string,text,,Tribal government: Tribal government(s) provide funding for a specific program that supports this data element or the data element itself.,,
0,23,415,B,C,BC,0,55,41,,,State agency: General agency budgetary provides funding for a specific program that supports this data element or for the data element itself.,400,5,State agency,,string,text,,State agency: General agency budgetary provides funding for a specific program that supports this data element or for the data element itself.,,
0,23,416,B,D,BD,0,56,42,,,State interagency: Agreements between two or more state agencies provide funding for a specific program that supports this data element or the data element itself.,400,6,State interagency,,string,text,,State interagency: Agreements between two or more state agencies provide funding for a specific program that supports this data element or the data element itself.,,
0,23,417,B,E,BE,0,57,43,,,Local government: Local government(s) provide funding for a specific program that supports this data element or the data element itself.,400,7,Local government,,string,text,,Local government: Local government(s) provide funding for a specific program that supports this data element or the data element itself.,,
0,23,418,B,F,BF,0,58,44,,,International: One or more international governments or international non-governmental organizations provide funding for a specific program that supports this data element or the data element itself.,400,8,International,,string,text,,International: One or more international governments or international non-governmental organizations provide funding for a specific program that supports this data element or the data element itself.,,
0,23,419,B,G,BG,0,59,45,,,Academia: Educational or academic institutions provide funding for a specific program that supports this data element or the data element itself.,400,9,Academia,,string,text,,Academia: Educational or academic institutions provide funding for a specific program that supports this data element or the data element itself.,,
0,23,420,B,H,BH,0,60,46,,,Professional association: Professional association(s) provide funding for a specific program that supports this data element or the data element itself.,400,10,Professional association,,string,text,,Professional association: Professional association(s) provide funding for a specific program that supports this data element or the data element itself.,,
0,23,421,B,I,BI,0,61,47,,,Non-profit organization: Non-profit or not-for-profit organizations provide funding for a specific program that supports this data element or the data element itself.,400,11,Non-profit organization,,string,text,,Non-profit organization: Non-profit or not-for-profit organizations provide funding for a specific program that supports this data element or the data element itself.,,
0,23,422,B,J,BJ,0,62,48,,,Consortium: Multiple governmental and/or non-governmental entities have formed a consortium to provide funding for a specific program that supports this data element or the data element itself.,400,12,Consortium,,string,text,,Consortium: Multiple governmental and/or non-governmental entities have formed a consortium to provide funding for a specific program that supports this data element or the data element itself.,,
0,23,423,B,K,BK,0,63,49,,,Private sector: Private sector company(ies) provide funding for a specific program that supports this data element or the data element itself.,400,13,Private sector,,string,text,,Private sector: Private sector company(ies) provide funding for a specific program that supports this data element or the data element itself.,,
0,23,424,B,L,BL,0,64,50,,,Other (please specify),400,0,Other,,string,text,,Other: [User defined; required comment field appears when selected],,
0,24,431,B,M,BM,0,65,51,FundSec,Are there secondary funding sources?,Yes,400,1,Yes,,string,factor,,Yes,,
0,24,432,B,N,BN,0,66,,,,No,400,2,No,,string,factor,,No,,
