ID,DataElem,newID
NA,air quality maintenance areas,13
NA,Anadromous Fish Abundance,140
NA,Debris Flow Hazard Zone,162
NA,Emergency Facilities,222
NA,Emergency Service Zones,196
NA,Evacuation Routes,198
NA,Groundwater Management Areas,32
NA,Land Use,158
NA,Landslide Zones,166
NA,Nearshore and Estuarine Bathymetry,122
NA,Oil Spill Geographic Response Areas,45
NA,Oregon Wetlands Cover,283
NA,Public Safety Response Areas,50
NA,Road centerlines,94
NA,State Police Operations,224
NA,Taxlots,3
NA,Wildlife Habitats,146
NA,Wildlife Species Habitat Suitability maps,149
NA,Non-Attainment Areas (National Ambient Air Quality Stds),44
NA,Vehicle Inspection Areas,13
