"","ID.x","DataElem","Theme","QuesID","Response","MaturityVar","PointValue","PtVal_int","ID.y","unite.","VarID","VarID.condnsd","VarName","Field.Question","Drop"
"1",10,"City & County Comprehensive Plans","Admin Bnds",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"2",101,"Oregon Zoning","Admin Bnds",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"3",108,"Military Facilities","Preparedness",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"4",11,"City Limits","Admin Bnds",22,"Exists-inadequate",1,"3",3,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"5",114,"0.5-meter DOQs","Imagery",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"6",115,"1-meter DOQs","Imagery",22,"Planned",1,"2",2,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"7",118,"Digital evelation models","Elevation",22,"Planned",1,"2",2,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"8",119,"Elevation Contours","Elevation",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"9",121,"Aspect","Elevation",22,"Planned",1,"2",2,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"10",122,"bathymetry","Elevation",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"11",122,"Nearshore and Estuarine Bathymetry","Elevation",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"12",123,"watercourses","Hydrography",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"13",124,"water bodies","Hydrography",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"14",125,"Water body shorelines","Hydrography",22,"Inconsistent",1,"1",1,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"15",127,"hydrologic units (1st-6th fields)","Hydrography",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"16",128,"water supply & transmission facilities","Utilities",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"17",129,"electric generation & transmission facilities","Utilities",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"18",13,"air quality maintenance areas","Admin Bnds",22,"No process",1,"0",0,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
"19",13,"Vehicle Inspection Areas","Admin Bnds",22,"Recurring",1,"5",5,401,1,44,35,"FundProc","QID 007 Is there a process to obtain funding for all lifecycle stages of this dataset?",0
