"","Package","Version"
"assertthat","assertthat","0.2.0"
"backports","backports","1.1.2"
"base64enc","base64enc","0.1-3"
"BH","BH","1.66.0-1"
"bindr","bindr","0.1.1"
"bindrcpp","bindrcpp","0.2.2"
"bit","bit","1.1-14"
"bit64","bit64","0.9-7"
"blob","blob","1.1.1"
"broom","broom","0.5.0"
"callr","callr","3.0.0"
"cellranger","cellranger","1.1.0"
"cli","cli","1.0.0"
"clipr","clipr","0.4.1"
"colorspace","colorspace","1.3-2"
"crayon","crayon","1.3.4"
"curl","curl","3.2"
"DBI","DBI","1.0.0"
"dbplyr","dbplyr","1.2.2"
"digest","digest","0.6.17"
"dplyr","dplyr","0.7.6"
"evaluate","evaluate","0.11"
"fansi","fansi","0.3.0"
"forcats","forcats","0.3.0"
"fs","fs","1.2.6"
"gapminder","gapminder","0.3.0"
"gcookbook","gcookbook","1.0"
"ggplot2","ggplot2","3.0.0"
"glue","glue","1.3.0"
"gtable","gtable","0.2.0"
"haven","haven","1.1.2"
"highr","highr","0.7"
"hms","hms","0.4.2"
"htmltools","htmltools","0.3.6"
"httr","httr","1.3.1"
"jsonlite","jsonlite","1.5"
"knitr","knitr","1.20"
"labeling","labeling","0.3"
"lazyeval","lazyeval","0.2.1"
"lubridate","lubridate","1.7.4"
"magrittr","magrittr","1.5"
"markdown","markdown","0.8"
"memoise","memoise","1.1.0"
"mime","mime","0.5"
"modelr","modelr","0.1.2"
"munsell","munsell","0.5.0"
"openssl","openssl","1.0.2"
"pander","pander","0.6.2"
"pillar","pillar","1.3.0"
"pkgconfig","pkgconfig","2.0.2"
"plogr","plogr","0.2.0"
"plyr","plyr","1.8.4"
"prettyunits","prettyunits","1.0.2"
"processx","processx","3.2.0"
"ps","ps","1.1.0"
"purrr","purrr","0.2.5"
"R6","R6","2.2.2"
"rapportools","rapportools","1.0"
"RColorBrewer","RColorBrewer","1.1-2"
"Rcpp","Rcpp","0.12.18"
"readr","readr","1.1.1"
"readxl","readxl","1.1.0"
"rematch","rematch","1.0.1"
"reprex","reprex","0.2.1"
"reshape","reshape","0.8.7"
"reshape2","reshape2","1.4.3"
"rlang","rlang","0.2.2"
"rmarkdown","rmarkdown","1.10"
"rprojroot","rprojroot","1.3-2"
"RSQLite","RSQLite","2.1.1"
"rstudioapi","rstudioapi","0.7"
"rvest","rvest","0.3.2"
"scales","scales","1.0.0"
"selectr","selectr","0.4-1"
"stringi","stringi","1.1.7"
"stringr","stringr","1.3.1"
"tibble","tibble","1.4.2"
"tidyr","tidyr","0.8.1"
"tidyselect","tidyselect","0.2.4"
"tidyverse","tidyverse","1.2.1"
"tinytex","tinytex","0.8"
"utf8","utf8","1.1.4"
"viridisLite","viridisLite","0.3.0"
"whisker","whisker","0.3-2"
"withr","withr","2.1.2"
"xfun","xfun","0.3"
"xml2","xml2","1.2.0"
"yaml","yaml","2.2.0"
"translations","translations","3.5.1"
